tamanho,conjunto,algoritmo,iteracao,tempo
40000,aleatorio,cycleSort,8,51.071693
40000,aleatorio,cycleSort,9,51.579120
40000,aleatorio,cycleSort,10,49.137321
40000,aleatorio,cycleSort,11,49.113208
40000,aleatorio,cycleSort,12,49.043121
40000,aleatorio,cycleSort,13,50.717066
40000,aleatorio,cycleSort,14,49.185391
40000,aleatorio,cycleSort,15,49.331618
40000,aleatorio,cycleSort,16,49.047293
40000,aleatorio,cycleSort,17,48.883400
40000,aleatorio,cycleSort,18,48.850734
40000,aleatorio,cycleSort,19,48.921953
40000,aleatorio,cycleSort,20,48.852336
40000,aleatorio,cycleSort,21,48.785205
40000,aleatorio,cycleSort,22,48.939558
40000,aleatorio,cycleSort,23,48.866975
40000,aleatorio,cycleSort,24,48.785561
40000,aleatorio,cycleSort,25,48.745842
40000,aleatorio,cycleSort,26,48.879190
40000,aleatorio,cycleSort,27,48.750842
40000,aleatorio,cycleSort,28,48.842360
40000,aleatorio,cycleSort,29,48.822091
40000,aleatorio,cycleSort,30,48.756221
60000,crescente,heapSort,1,0.157039
60000,crescente,heapSort,2,0.157183
60000,crescente,heapSort,3,0.156741
60000,crescente,heapSort,4,0.156956
60000,crescente,heapSort,5,0.156811
60000,crescente,heapSort,6,0.157004
60000,crescente,heapSort,7,0.157440
60000,crescente,heapSort,8,0.157383
60000,crescente,heapSort,9,0.155162
60000,crescente,heapSort,10,0.155351
60000,crescente,heapSort,11,0.155572
60000,crescente,heapSort,12,0.154666
60000,crescente,heapSort,13,0.154485
60000,crescente,heapSort,14,0.156136
60000,crescente,heapSort,15,0.156063
60000,crescente,heapSort,16,0.156057
60000,crescente,heapSort,17,0.156191
60000,crescente,heapSort,18,0.156151
60000,crescente,heapSort,19,0.156086
60000,crescente,heapSort,20,0.156672
60000,crescente,heapSort,21,0.156223
60000,crescente,heapSort,22,0.156543
60000,crescente,heapSort,23,0.157480
60000,crescente,heapSort,24,0.157546
60000,crescente,heapSort,25,0.157909
60000,crescente,heapSort,26,0.158961
60000,crescente,heapSort,27,0.157759
60000,crescente,heapSort,28,0.157362
60000,crescente,heapSort,29,0.157846
60000,crescente,heapSort,30,0.155724
60000,crescente,cycleSort,1,20.123813
60000,crescente,cycleSort,2,20.206702
60000,crescente,cycleSort,3,20.160824
60000,crescente,cycleSort,4,20.190519
60000,crescente,cycleSort,5,20.124855
60000,crescente,cycleSort,6,20.213139
60000,crescente,cycleSort,7,20.233975
60000,crescente,cycleSort,8,20.201586
60000,crescente,cycleSort,9,20.694138
60000,crescente,cycleSort,10,20.734083
60000,crescente,cycleSort,11,20.550831
60000,crescente,cycleSort,12,21.357736
60000,crescente,cycleSort,13,23.931144
60000,crescente,cycleSort,14,21.585901
60000,crescente,cycleSort,15,21.363356
60000,crescente,cycleSort,16,21.444600
60000,crescente,cycleSort,17,21.100183
60000,crescente,cycleSort,18,21.055075
60000,crescente,cycleSort,19,21.172638
60000,crescente,cycleSort,20,21.275515
60000,crescente,cycleSort,21,21.218459
60000,crescente,cycleSort,22,21.221477
60000,crescente,cycleSort,23,21.199918
60000,crescente,cycleSort,24,21.108724
60000,crescente,cycleSort,25,21.605642
60000,crescente,cycleSort,26,21.467770
60000,crescente,cycleSort,27,21.452489
60000,crescente,cycleSort,28,21.308912
60000,crescente,cycleSort,29,20.773896
60000,crescente,cycleSort,30,21.241030
60000,decrescente,heapSort,1,0.148574
60000,decrescente,heapSort,2,0.146416
60000,decrescente,heapSort,3,0.146161
60000,decrescente,heapSort,4,0.145941
60000,decrescente,heapSort,5,0.148013
60000,decrescente,heapSort,6,0.147239
60000,decrescente,heapSort,7,0.149250
60000,decrescente,heapSort,8,0.151779
60000,decrescente,heapSort,9,0.148999
60000,decrescente,heapSort,10,0.152575
60000,decrescente,heapSort,11,0.148908
60000,decrescente,heapSort,12,0.151909
60000,decrescente,heapSort,13,0.148004
60000,decrescente,heapSort,14,0.147477
60000,decrescente,heapSort,15,0.149123
60000,decrescente,heapSort,16,0.147412
60000,decrescente,heapSort,17,0.148674
60000,decrescente,heapSort,18,0.146856
60000,decrescente,heapSort,19,0.148709
60000,decrescente,heapSort,20,0.150156
60000,decrescente,heapSort,21,0.146846
60000,decrescente,heapSort,22,0.148146
60000,decrescente,heapSort,23,0.148405
60000,decrescente,heapSort,24,0.150044
60000,decrescente,heapSort,25,0.149366
60000,decrescente,heapSort,26,0.146998
60000,decrescente,heapSort,27,0.145690
60000,decrescente,heapSort,28,0.146106
60000,decrescente,heapSort,29,0.145795
60000,decrescente,heapSort,30,0.146701
60000,decrescente,cycleSort,1,53.661561
60000,decrescente,cycleSort,2,54.372742
60000,decrescente,cycleSort,3,51.528925
60000,decrescente,cycleSort,4,52.634503
60000,decrescente,cycleSort,5,52.628582
60000,decrescente,cycleSort,6,50.934613
60000,decrescente,cycleSort,7,50.831354
60000,decrescente,cycleSort,8,50.791220
60000,decrescente,cycleSort,9,51.384934
60000,decrescente,cycleSort,10,51.189212
60000,decrescente,cycleSort,11,51.385330
60000,decrescente,cycleSort,12,51.221691
60000,decrescente,cycleSort,13,51.279465
60000,decrescente,cycleSort,14,51.210800
60000,decrescente,cycleSort,15,51.524859
60000,decrescente,cycleSort,16,52.909862
60000,decrescente,cycleSort,17,52.303922
60000,decrescente,cycleSort,18,53.159484
60000,decrescente,cycleSort,19,54.450566
60000,decrescente,cycleSort,20,53.258930
60000,decrescente,cycleSort,21,52.108422
60000,decrescente,cycleSort,22,54.951437
60000,decrescente,cycleSort,23,53.344742
60000,decrescente,cycleSort,24,52.682520
60000,decrescente,cycleSort,25,52.941655
60000,decrescente,cycleSort,26,51.938681
60000,decrescente,cycleSort,27,52.648204
60000,decrescente,cycleSort,28,53.578844
60000,decrescente,cycleSort,29,55.546934
60000,decrescente,cycleSort,30,53.132352
60000,aleatorio,heapSort,1,0.161661
60000,aleatorio,heapSort,2,0.160893
60000,aleatorio,heapSort,3,0.158198
60000,aleatorio,heapSort,4,0.155125
60000,aleatorio,heapSort,5,0.159230
60000,aleatorio,heapSort,6,0.155635
60000,aleatorio,heapSort,7,0.161005
60000,aleatorio,heapSort,8,0.158115
60000,aleatorio,heapSort,9,0.159354
60000,aleatorio,heapSort,10,0.160177
60000,aleatorio,heapSort,11,0.167599
60000,aleatorio,heapSort,12,0.163726
60000,aleatorio,heapSort,13,0.170154
60000,aleatorio,heapSort,14,0.159186
60000,aleatorio,heapSort,15,0.160329
60000,aleatorio,heapSort,16,0.157710
60000,aleatorio,heapSort,17,0.156493
60000,aleatorio,heapSort,18,0.153625
60000,aleatorio,heapSort,19,0.159732
60000,aleatorio,heapSort,20,0.161225
60000,aleatorio,heapSort,21,0.158302
60000,aleatorio,heapSort,22,0.157328
60000,aleatorio,heapSort,23,0.157420
60000,aleatorio,heapSort,24,0.157253
60000,aleatorio,heapSort,25,0.158553
60000,aleatorio,heapSort,26,0.160076
60000,aleatorio,heapSort,27,0.154050
60000,aleatorio,heapSort,28,0.155540
60000,aleatorio,heapSort,29,0.182033
60000,aleatorio,heapSort,30,0.166220
60000,aleatorio,cycleSort,1,123.901936
60000,aleatorio,cycleSort,2,120.640990
60000,aleatorio,cycleSort,3,125.820401
60000,aleatorio,cycleSort,4,123.582540
60000,aleatorio,cycleSort,5,126.917292
60000,aleatorio,cycleSort,6,124.073300
60000,aleatorio,cycleSort,7,123.733732
60000,aleatorio,cycleSort,8,122.915375
60000,aleatorio,cycleSort,9,127.375870
60000,aleatorio,cycleSort,10,121.624350
60000,aleatorio,cycleSort,11,121.643398
60000,aleatorio,cycleSort,12,122.084571
60000,aleatorio,cycleSort,13,120.299983
60000,aleatorio,cycleSort,14,123.560414
60000,aleatorio,cycleSort,15,123.490511
60000,aleatorio,cycleSort,16,134.200843
60000,aleatorio,cycleSort,17,134.401824
60000,aleatorio,cycleSort,18,124.552033
60000,aleatorio,cycleSort,19,125.230288
60000,aleatorio,cycleSort,20,125.672757
60000,aleatorio,cycleSort,21,133.389884
60000,aleatorio,cycleSort,22,126.611353
60000,aleatorio,cycleSort,23,123.979119
60000,aleatorio,cycleSort,24,125.892695
60000,aleatorio,cycleSort,25,123.929002
60000,aleatorio,cycleSort,26,128.280792
60000,aleatorio,cycleSort,27,133.606090
60000,aleatorio,cycleSort,28,129.958993
60000,aleatorio,cycleSort,29,129.775149
60000,aleatorio,cycleSort,30,136.381810
